obsnme,obsnme,obsval,weight,obgnme,extra
fo_39_19791230,fo_39_19791230,13741.802991,0.0175,calflux,
hds_00_002_009_000,hds_00_002_009_000,38.275504159,5.0,calhead,
hds_00_002_015_000,hds_00_002_015_000,35.817917091,5.0,calhead,
hds_00_003_008_000,hds_00_003_008_000,38.996476522,5.0,calhead,
hds_00_009_001_000,hds_00_009_001_000,33.195995331,5.0,calhead,
hds_00_013_010_000,hds_00_013_010_000,36.210065817,5.0,calhead,
hds_00_015_016_000,hds_00_015_016_000,39.597709656,5.0,calhead,
hds_00_021_010_000,hds_00_021_010_000,37.021207898,5.0,calhead,
hds_00_022_015_000,hds_00_022_015_000,34.453526914,5.0,calhead,
hds_00_024_004_000,hds_00_024_004_000,38.963417766,5.0,calhead,
hds_00_026_006_000,hds_00_026_006_000,37.638984801,5.0,calhead,
hds_00_029_015_000,hds_00_029_015_000,34.70776678,5.0,calhead,
hds_00_033_007_000,hds_00_033_007_000,35.14590948,5.0,calhead,
hds_00_034_010_000,hds_00_034_010_000,34.236077404,5.0,calhead,
